TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-03,2026-07-03,FO,NSE,IDO,60555,,MIDCPNIFTY,,2026-08-25,2026-08-25,14350.00,CE,MIDCPNIFTY26AUG14350CE,0.00,0.00,0.00,989.70,0.00,989.70,14545.90,690.05,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60577,,MIDCPNIFTY,,2026-08-25,2026-08-25,14475.00,CE,MIDCPNIFTY26AUG14475CE,0.00,0.00,0.00,917.65,0.00,917.65,14545.90,620.00,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60581,,MIDCPNIFTY,,2026-08-25,2026-08-25,14525.00,CE,MIDCPNIFTY26AUG14525CE,0.00,0.00,0.00,889.75,0.00,889.75,14545.90,593.30,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60583,,MIDCPNIFTY,,2026-08-25,2026-08-25,14550.00,CE,MIDCPNIFTY26AUG14550CE,0.00,0.00,0.00,876.05,0.00,876.05,14545.90,580.20,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60625,,MIDCPNIFTY,,2026-08-25,2026-08-25,14900.00,CE,MIDCPNIFTY26AUG14900CE,0.00,0.00,0.00,698.55,0.00,698.55,14545.90,417.20,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60675,,MIDCPNIFTY,,2026-08-25,2026-08-25,15325.00,CE,MIDCPNIFTY26AUG15325CE,0.00,0.00,0.00,519.10,0.00,519.10,14545.90,267.05,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60677,,MIDCPNIFTY,,2026-08-25,2026-08-25,15350.00,CE,MIDCPNIFTY26AUG15350CE,0.00,0.00,0.00,509.70,0.00,509.70,14545.90,259.75,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60711,,MIDCPNIFTY,,2026-08-25,2026-08-25,15650.00,CE,MIDCPNIFTY26AUG15650CE,0.00,0.00,0.00,406.95,0.00,406.95,14545.90,183.75,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60735,,MIDCPNIFTY,,2026-08-25,2026-08-25,15900.00,CE,MIDCPNIFTY26AUG15900CE,0.00,0.00,0.00,334.25,0.00,334.25,14545.90,135.00,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60747,,MIDCPNIFTY,,2026-08-25,2026-08-25,16000.00,CE,MIDCPNIFTY26AUG16000CE,0.00,0.00,0.00,308.25,0.00,308.25,14545.90,118.80,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72835,,MIDCPNIFTY,,2026-09-29,2026-09-29,14200.00,CE,MIDCPNIFTY26SEP14200CE,0.00,0.00,0.00,906.80,0.00,906.80,14545.90,971.00,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72844,,MIDCPNIFTY,,2026-09-29,2026-09-29,14225.00,CE,MIDCPNIFTY26SEP14225CE,0.00,0.00,0.00,892.55,0.00,892.55,14545.90,955.95,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72863,,MIDCPNIFTY,,2026-09-29,2026-09-29,14350.00,CE,MIDCPNIFTY26SEP14350CE,0.00,0.00,0.00,823.30,0.00,823.30,14545.90,882.85,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72942,,MIDCPNIFTY,,2026-09-29,2026-09-29,14550.00,CE,MIDCPNIFTY26SEP14550CE,0.00,0.00,0.00,720.15,0.00,720.15,14545.90,773.60,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72952,,MIDCPNIFTY,,2026-09-29,2026-09-29,14675.00,CE,MIDCPNIFTY26SEP14675CE,0.00,0.00,0.00,660.30,0.00,660.30,14545.90,710.10,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72960,,MIDCPNIFTY,,2026-09-29,2026-09-29,14775.00,CE,MIDCPNIFTY26SEP14775CE,0.00,0.00,0.00,615.05,0.00,615.05,14545.90,661.85,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72988,,MIDCPNIFTY,,2026-09-29,2026-09-29,15075.00,CE,MIDCPNIFTY26SEP15075CE,0.00,0.00,0.00,492.65,0.00,492.65,14545.90,531.20,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72992,,MIDCPNIFTY,,2026-09-29,2026-09-29,15125.00,CE,MIDCPNIFTY26SEP15125CE,0.00,0.00,0.00,474.15,0.00,474.15,14545.90,511.40,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63336,,MIDCPNIFTY,,2026-07-28,2026-07-28,12550.00,PE,MIDCPNIFTY26JUL12550PE,0.00,0.00,0.00,130.00,0.00,130.00,14545.90,1.70,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63338,,MIDCPNIFTY,,2026-07-28,2026-07-28,12575.00,PE,MIDCPNIFTY26JUL12575PE,0.00,0.00,0.00,134.25,0.00,134.25,14545.90,1.85,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63364,,MIDCPNIFTY,,2026-07-28,2026-07-28,12900.00,PE,MIDCPNIFTY26JUL12900PE,3.50,3.50,3.45,3.45,3.45,4.35,14545.90,3.45,840,480,4,6193662.00,4,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63378,,MIDCPNIFTY,,2026-07-28,2026-07-28,13075.00,PE,MIDCPNIFTY26JUL13075PE,0.00,0.00,0.00,8.85,8.85,8.85,14545.90,11.35,240,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63392,,MIDCPNIFTY,,2026-07-28,2026-07-28,13250.00,PE,MIDCPNIFTY26JUL13250PE,0.00,0.00,0.00,11.45,11.45,11.45,14545.90,19.55,360,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63400,,MIDCPNIFTY,,2026-07-28,2026-07-28,13350.00,PE,MIDCPNIFTY26JUL13350PE,0.00,0.00,0.00,324.35,0.00,324.35,14545.90,26.10,0,0,0,0.00,0,F1,120,,,,,
